Measurement Type,,Variable Name,Variable Description,Units,
Crop,,CCS,Commercial Cane Sugar from Press,%,
Crop,,DPMSTK,Density (Mass/Volume) of Primary Millable Stalks,g/cc,
Crop,,DSMSTK,Density (Mass/Volume) of Secondary Millable Stalks,g/cc,
Crop,,DWCAB,Dry Weight of Cabbage,g/m2,
Crop,,DWC-IIST,Dry Weight of C-II Stalks,g/m2,
Crop,,DWDLF,Dry Weight of Trash,g/m2,
Crop,,DWGLF,Dry Weight of Green Leaf,g/m2,
Crop,,DWMST,Dry Weight of Cane (millable stem),g/m2,
Crop,,DWPCAB,Dry Weight of Primary Cabbage,g/m2,
Crop,,DWPDLF,Dry Weight of Primary Trash,g/m2,
Crop,,DWPGLF,Dry Weight of Primary Green Leaf,g/m2,
Crop,,DWPMST,Dry Weight of Primary Cane (Millable Stem),g/m2,
Crop,,DWPSTA,Dry Weight of Primary Cane + Cabbage,g/m2,
Crop,,DWPSTK,Dry Weight per Stalk,g,
Crop,,DWPTOP,Dry Weight of Primary Tops (Cabbage + Green Leaf),g/m2,
Crop,,DWPTOTA,Dry Weight of Primary Above-ground Biomass,g/m2,
Crop,,DWPTOTG,Dry Weight of Primary Above-ground Biomass Green,g/m2,
Crop,,DWRT,Dry Weight of Roots,g/m2,
Crop,,DWSCAB,Dry Weight of Sucker Cabbage,g/m2,
Crop,,DWSDLF,Dry Weight of Sucker Trash,g/m2,
Crop,,DWSGLF,Dry Weight of Sucker Green Leaf,g/m2,
Crop,,DWSMST,Dry Weight of Sucker Cane (Millable Stem),g/m2,
Crop,,DWSSTA,Dry Weight of Sucker Cane + Cabbage,g/m2,
Crop,,DWSTA,Dry Weight of Cane + Cabbage (Stem),g/m2,
Crop,,DWSTB,Dry Weight of Below-ground Stalk,g/m2,
Crop,,DWSTOP,Dry Weight of Sucker Tops (Cabbage + Green Leaf),g/m2,
Crop,,DWSTOTA,Dry Weight of Sucker Above-ground Biomass,g/m2,
Crop,,DWSTOTG,Dry Weight of Sucker Above-ground Green Biomass,g/m2,
Crop,,DWTOP,Dry Weight of Tops (Cabbage + Green Leaf),g/m2,
Crop,,DWTOTA,Dry Weight of Above-ground Biomass,g/m2,
Crop,,DWTOTB,Dry Weight of Below-ground (Stalk + root) Biomass,g/m2,
Crop,,DWTOTG,Dry Weight of Above-ground Biomass Green,g/m2,
Crop,,DWTOTT,Dry Weight of Total (Above + Below-ground) Biomass,g/m2,
Crop,,FBCAB,Fibre in Cabbage,g/m2,
Crop,,FBDLF,Fibre in Trash,g/m2,
Crop,,FBGLF,Fibre in Green Leaf,g/m2,
Crop,,FBMST,Fibre in Cane (millable stem),g/m2,
Crop,,FBPCAB,Fibre in Primary Cabbage,g/m2,
Crop,,FBPDLF,Fibre in Primary Trash,g/m2,
Crop,,FBPGLF,Fibre in Primary Green Leaf,g/m2,
Crop,,FBPMST,Fibre in Primary Cane (Millable Stem),g/m2,
Crop,,FBPSTA,Fibre in Primary Cane + Cabbage,g/m2,
Crop,,FBPTOP,Fibre in Primary Tops (Cabbage + Green Leaf),g/m2,
Crop,,FBPTOTA,Fibre in Primary Above-ground Biomass,g/m2,
Crop,,FBSCAB,Fibre in Sucker Cabbage,g/m2,
Crop,,FBSDLF,Fibre in Sucker Trash,g/m2,
Crop,,FBSGLF,Fibre in Sucker Green Leaf,g/m2,
Crop,,FBSMST,Fibre in Sucker Cane (Millable Stem),g/m2,
Crop,,FBSSTA,Fibre in Sucker Cane + Cabbage,g/m2,
Crop,,FBSTA,Fibre in Cane + Cabbage (stem),g/m2,
Crop,,FBSTB,Fibre in Below-ground Stalk,g/m2,
Crop,,FBSTOP,Fibre in Sucker Tops (Cabbage + Green Leaf),g/m2,
Crop,,FBSTOTA,Fibre in Sucker Above-ground Biomass,g/m2,
Crop,,FBTOP,Fibre in Tops (Cabbage + Green Leaf),g/m2,
Crop,,FBTOTA,Fibre in Above-ground Biomass,g/m2,
Crop,,FCCAB,Fibre Concentration of Cabbage,g/g,
Crop,,FCCABF,Fibre Concentration of Cabbage Fresh,g/g,
Crop,,FCDLF,Fibre Concentration in Trash,g/g,
Crop,,FCGLF,Fibre Concentration of Green Leaf,g/g,
Crop,,FCGLFF,Fibre Concentration of Green Leaf Fresh,g/g,
Crop,,FCMST,Fibre Concentration of Cane (millable stem),g/g,
Crop,,FCMSTF,Fibre Concentration of Cane (millable stem) Fresh,g/g,
Crop,,FCPCAB,Fibre Concentration of Primary Cabbage,g/g,
Crop,,FCPCABF,Fibre Concentration of Primary Cabbage Fresh,g/g,
Crop,,FCPDLF,Fibre Concentration in Primary Trash,g/g,
Crop,,FCPGLF,Fibre Concentration of Primary Green Leaf,g/g,
Crop,,FCPGLFF,Fibre Concentration of Primary Green Leaf Fresh,g/g,
Crop,,FCPMST,Fibre Concentration of Primary Cane (Millable Stem),g/g,
Crop,,FCPMSTF,Fibre Concentration of Primary Cane (Millable Stem) Fresh,g/g,
Crop,,FCPSTA,Fibre Concentration of Primary Cane + Cabbage,g/g,
Crop,,FCPSTAF,Fibre Concentration of Primary Cane + Cabbage Fresh,g/g,
Crop,,FCPTOP,Fibre Concentration of Primary Tops (Cabbage + Green Leaf),g/g,
Crop,,FCPTOPF,Fibre Concentration of Primary Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,FCPTOTA,Fibre Concentration of Primary Above-ground Biomass,g/g,
Crop,,FCPTOTAF,Fibre Concentration of Primary Above-ground Biomass Fresh,g/g,
