ExpID,Name,Description,,SiteName,SiteID,Field,BeginDate,EndDate,,MetStation,ExpDesign,Reps,Rating,Notes
613,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,(1R) 2 Varieties * 2 Crop Start Times - To determine effect of crop start date on yield and CCS of 2 varieties,,"Adil Farming Co., Mossman, Qld (Biboohra)",AD,AD BLOCK 10,1/8/1996,30/12/1997,,"Adil  Farm Co, Biboohra","(1R) 2 Varieties (Q120, Q124) * 2 Crop StartTimes (July, November) * 2 Reps",2,,
845,CRC 3.2 Crop Response to Alternative Harvest Dates in Dumbleton,(1R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Andrew Powell, Dumbleton Mackay",AP,AP Block 2,6/9/1997,28/10/1998,,"Powel, Mackay",(1R) 2 Harvest Dates x 2 Replicates,2,,
846,CRC 3.2 Crop Response to Alternative Harvest Dates in Dumbleton,(2R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Andrew Powell, Dumbleton Mackay",AP,AP Block 2,14/04/1998,28/10/1999,,"Powel, Mackay",(2R) 2 Harvest Dates x 2 Replicates,2,,
847,CRC 3.2 Crop Response to Alternative Harvest Dates in Dumbleton,(3R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Andrew Powell, Dumbleton Mackay",AP,AP Block 2,4/5/1999,28/10/2000,,"Powel, Mackay",(3R) 2 Harvest Dates x 2 Replicates,2,,
2,"Effect of withholding fumigation, on plant crop - Burdekin District",(Plant) under non-fumigated conditions,,"Ayr, G & R Zanetti's Farm QLD",ZN,ZN Block151,1/4/1991,31/07/1992,,Zanetti 085,(Plant) Q96 in early plant  (Plots 101-104),4,,
5,Effect of fumigation on growth of fumigated early plant crop,(Plant) Fumigated Q117 early plant,,"Ayr, G & R Zanetti's Farm QLD",ZN,ZN Block11,1/4/1992,31/08/1993,,Zanetti 085,"(Plant) Fumigated & Non-fumigated (Plots 201,204,207,208)",2,,
6,Effect of crop class under non-fumigated conditions - Burdekin,4 crop classes effect on yield,,"Ayr, G & R Zanetti's Farm QLD",ZN,ZN Block41,1/4/1992,30/11/1993,,Zanetti 085,"4 crop classes: early plant, late plant, 2nd & 4th ratoon (Plots 204,207,209-214)",2,,
7,Effect of Nitrogen rates on fumigated early plant,(Plant) 3 N rates on Q117 fumigated early plant crop,,"Ayr, G & R Zanetti's Farm QLD",ZN,ZN Block11,1/4/1992,31/07/1993,,Zanetti 085,"(Plant) 3 N rates: 35, 257  & 407 kgN/ha; (Plots 202-207)",2,,
18,Effect of fumigation on Q117 in 1st ratoon,(1st Ratoon) Fumigated vs nonfumigated,,"Ayr, G & R Zanetti's Farm QLD",ZN,ZN Block11,12/8/1993,13/10/1994,,Zanetti 085,"(1st Ratoon)  Fumigated (plots 304,306) & nonfumigated (Plots 301,308)",2,,
19,Effect of N rate on Q117 fumigated 1st ratoon,(1st Ratoon) 3 N rates x fumigated Q117,,"Ayr, G & R Zanetti's Farm QLD",ZN,ZN Block11,12/8/1993,13/10/1994,,Zanetti 085,"(1st Ratoon)  3 N rates (0, standard & high) x fumigated Q117",2,,
