ExpID,Treatment,Date,Fertilizer,Amount,Units,Depth,Method,Notes
1,ALL,7/16/1991,Ammonium nitrate,125,kg/ha,10,band - beside row,Crop King 66S
1,ALL,9/10/1991,Ammonium nitrate,195,kg/ha,5,band - beside row,Fertilizer applied when cultivated
1,ALL,10/8/1991,Ammonium nitrate,390,kg/ha,5,band - beside row,
1,ALL,10/10/1991,Ammonium nitrate - sulphate,10,kg/ha,0,band - below row,
1,ALL,10/24/1991,Ammonium nitrate,540,kg/ha,5,band - beside row,
2,ALL,4/19/1991,Ammonium nitrate,220,kg/ha,0,band - beside row,Crop King 88
2,ALL,7/29/1991,Ammonium nitrate,314,kg/ha,0,band - beside row,
2,ALL,8/19/1991,Ammonium nitrate,336,kg/ha,0,band - beside row,
3,1,7/23/1992,Ammonium nitrate,480,kg/ha,10,band - beside row,Grow Force - Strike Force 351
3,2,9/4/1992,Ammonium nitrate,480,kg/ha,10,band - beside row,Grow Force - Strike Force 351
3,3,7/23/1992,Ammonium nitrate,480,kg/ha,10,band - beside row,Grow Force - Strike Force 351
3,4,9/4/1992,Ammonium nitrate,480,kg/ha,10,band - beside row,Gow Force - Strike Force 351
3,4,9/4/1992,Ammonium nitrate,480,kg/ha,10,band - beside row,Grow Force - Strike Force 351
3,ALL,9/23/1992,Ammonium nitrate,350,kg/ha,10,band - beside row,
3,ALL,10/12/1992,Ammonium nitrate - sulphate,10,kg/ha,0,band - below row,
3,ALL,10/12/1992,Anhydrous ammonia,10,kg/ha,0,band - stool splitting,
3,ALL,10/13/1992,Ammonium nitrate,250,kg/ha,0,band - beside row,
3,ALL,10/13/1992,Ammonium nitrate,370,kg/ha,0,band - beside row,
3,ALL,12/10/1992,Unknown,371,kg/ha,0,Unknown,Applied by hand
3,ALL,12/10/1992,Anhydrous ammonia,375,kg/ha,0,band - stool splitting,applied by hand
4,2,10/13/1992,Ammonium nitrate,250,kg/ha,0,band - beside row,
4,3,9/23/1992,Ammonium nitrate,350,kg/ha,10,band - beside row,
4,3,10/13/1992,Ammonium nitrate,250,kg/ha,0,band - beside row,
4,ALL,7/23/1992,Ammonium nitrate,480,kg/ha,10,band - beside row,Grow Force - Strike Force 351
4,ALL,10/12/1992,Ammonium nitrate - sulphate,10,kg/ha,0,band - below row,
4,ALL,10/12/1992,Ammonium nitrate - sulphate,10,kg/ha,0,band - below row,
5,ALL,4/20/1992,Ammonium nitrate,232,kg/ha,30,band - beside row,Grow Force 303
5,ALL,6/2/1992,Ammonium nitrate,350,kg/ha,30,band - beside row,
5,ALL,8/20/1992,Ammonium nitrate - sulphate,8,kg/ha,0,band - below row,
5,ALL,8/20/1992,Ammonium nitrate - sulphate,8,kg/ha,0,band - below row,
6,1,4/22/1992,Ammonium nitrate,232,kg/ha,30,band - beside row,Grow Force 303
6,1,6/2/1992,Ammonium nitrate,350,kg/ha,30,band - beside row,
6,1,8/20/1992,Ammonium nitrate - sulphate,8,kg/ha,0,band - below row,
6,2,7/3/1992,Ammonium nitrate,138,kg/ha,30,band - beside row,Grow Force 303
6,2,9/9/1992,Ammonium nitrate,445,kg/ha,30,band - beside row,Urea-S
6,2,10/17/1992,Ammonium nitrate,445,kg/ha,30,band - beside row,
6,3,11/6/1992,Ammonium nitrate,570,kg/ha,30,band - beside row,
6,3,12/12/1992,Ammonium nitrate,198,kg/ha,10,band - beside row,Urea-S
6,4,11/6/1992,Ammonium nitrate,570,kg/ha,30,band - beside row,
6,4,12/12/1992,Ammonium nitrate,198,kg/ha,10,band - beside row,Urea-S
7,2,6/2/1992,Ammonium nitrate,350,kg/ha,30,band - beside row,
7,3,6/2/1992,Ammonium nitrate,350,kg/ha,30,band - beside row,
7,3,10/7/1992,Anhydrous ammonia,375,kg/ha,0,band - stool splitting,
7,3,11/26/1992,Unknown,371,kg/ha,0,,Applied by hand
7,3,1/21/1993,Unknown,371,kg/ha,0,,Applied by hand
7,ALL,4/22/1992,Ammonium nitrate,232,kg/ha,30,band - beside row,Grow Force 303
7,ALL,8/20/1992,Ammonium nitrate - sulphate,8,kg/ha,0,band - below row,
8,ALL,8/14/1991,Ammonium nitrate,366,kg/ha,20,band - beside row,at planting time
8,ALL,11/20/1991,Ammonium nitrate,453,kg/ha,5,band - beside row,
9,ALL,10/26/1992,Ammonium nitrate,570,kg/ha,10,band - beside row,
12,2,10/27/1992,Ammonium nitrate,370,kg/ha,10,band - beside row,
12,3,10/27/1992,Ammonium nitrate,370,kg/ha,10,band - beside row,
12,4,10/27/1992,Ammonium nitrate,370,kg/ha,10,band - beside row,
12,4,11/25/1992,Anhydrous ammonia,347,kg/ha,0,band - stool splitting,Broadcast along each side of stool
12,4,1/13/1993,Anhydrous ammonia,346,kg/ha,0,band - stool splitting,
12,4,3/15/1993,Anhydrous ammonia,346,kg/ha,0,band - stool splitting,
12,4,5/3/1993,Anhydrous ammonia,346,kg/ha,0,band - stool splitting,
12,6,10/27/1992,Ammonium nitrate,370,kg/ha,10,band - beside row,
12,ALL,10/27/1992,Ammonium nitrate,171,kg/ha,10,band - beside row,
12,ALL,10/27/1992,Ammonium nitrate,259,kg/ha,10,band - beside row,
13,1,11/24/1994,Ammonium nitrate,435,kg/ha,5,band - beside row,
13,1,2/2/1995,Ammonium sulphate,59,kg/ha,0,band - interrow,
13,1,2/22/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,1,3/12/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,1,3/26/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,1,4/9/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,1,4/24/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,1,5/11/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,2,11/24/1994,Ammonium nitrate,435,kg/ha,5,band - beside row,
13,2,2/2/1995,Ammonium sulphate,59,kg/ha,0,band - interrow,
13,2,2/22/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,2,3/12/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,2,3/26/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,2,4/9/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,2,4/24/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,2,5/11/1995,Ammonium sulphate,33,kg/ha,0,band - interrow,
13,3,11/24/1994,Ammonium nitrate,435,kg/ha,5,band - beside row,
13,5,11/24/1994,Ammonium nitrate,435,kg/ha,5,band - beside row,
13,6,11/24/1994,Ammonium nitrate,163,kg/ha,5,band - beside row,
13,ALL,9/28/1994,Ammonium nitrate,108,kg/ha,7,band - beside row,applied with planting billets
13,ALL,9/28/1994,Ammonium nitrate,118,kg/ha,7,band - beside row,Muriate of Potash
14,1,11/27/1995,Ammonium nitrate,435,kg/ha,5,band - beside row,
14,2,11/27/1995,Ammonium nitrate,435,kg/ha,5,band - beside row,
14,3,11/27/1995,Ammonium nitrate,435,kg/ha,5,band - beside row,
14,5,11/27/1995,Ammonium nitrate,435,kg/ha,5,band - beside row,
14,6,11/27/1995,Ammonium nitrate,163,kg/ha,5,band - beside row,
15,1,11/11/1997,Ammonium nitrate,435,kg/ha,0,band - beside row,Afternoon storms
15,2,11/11/1997,Ammonium nitrate,435,kg/ha,0,band - beside row,Afternoon storms
15,3,11/11/1997,Ammonium nitrate,435,kg/ha,0,band - beside row,Afternoon storms
15,5,11/11/1997,Ammonium nitrate,435,kg/ha,0,band - beside row,Afternoon storms
15,6,11/11/1997,Ammonium nitrate,163,kg/ha,0,band - beside row,Afternoon storms
17,1,9/10/1993,Ammonium nitrate,290,kg/ha,25,band - beside row,
17,2,9/10/1993,Ammonium nitrate,290,kg/ha,25,band - beside row,
17,2,10/8/1993,Ammonium nitrate,120,kg/ha,25,band - beside row,
17,3,9/10/1993,Ammonium nitrate,290,kg/ha,25,band - beside row,
17,3,10/8/1993,Ammonium nitrate,120,kg/ha,25,band - beside row,
17,3,10/21/1993,Ammonium nitrate,360,kg/ha,25,band - beside row,
17,3,11/24/1993,Ammonium nitrate,140,kg/ha,25,band - beside row,
17,3,12/29/1993,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,3,12/29/1993,Ammonium sulphate,175,kg/ha,0,band - interrow,tape on surface
17,3,1/27/1994,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,3,3/9/1994,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,3,4/5/1994,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,3,5/10/1994,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,3,6/9/1994,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,3,7/27/1994,Ammonium sulphate,175,kg/ha,0,band - interrow,
17,4,9/20/1993,Ammonium nitrate,320,kg/ha,25,band - beside row,
