Fertiliser,,N%,P%,K%,Ca%,S%,Other%,Other,,Notes,,,,,,,
Ammonium nitrate,,34,0,0,0,0,0,,,,,,,,,,
Ammonium nitrate - sulphate,,0,0,0,0,0,0,,,,,,,,,,
Ammonium sulphate,,20.20000076,0,24,0,0,0,,,,,,,,,,
Anhydrous ammonia,,82.19999695,0,0,0,0,0,,,,,,,,,,
Aqua ammonia,,20.5,0,0,0,0,0,,,,,,,,,,
Borax (Solubor),,0,0,0,0,0,0,,,,,,,,,,
Calcitic limestone,,46,0,0,0,0,0,,,,,,,,,,
"Calcitic limestone, magnesium crude mixture",,12.60000038,22,0,0,3,0,,,,,,,,,,
Calcium ammonium nitrate solution,,19,20,0,0,3,0,,,,,,,,,,
Coal Ash,,0,8.800000191,0,0,11,0,,,,,,,,,,
Copper sulphate,,0,20.70000076,0,0,1.299999952,0,,,,,,,,,,
Coral,,0,0,0,0,0,0,,,,,,,,,,
Crop residue - cane,,0,0,50,0,0,0,,,,,,,,,,
Crop residue - leguminous,,0,0,41,0,16.5,0,,,,,,,,,,
Crop residue - other,,0,0,0,0,0,0,,,,,,,,,,
Dewatered sludge cake,,0,0,0,0,0,77.5,Cu,,,,,,,,,
Diammonium phosphate,,0,0,0,0,0,25,Cu,,,,,,,,,
Dolomitic Limestone,,0,0,0,0,0,54,Mg,,,,,,,,,
Dunder,,0,0,0,0,0,9.600000381,Mg,,,,,,,,,
Filter (mill) mud,,0,0,0,0,0,80,Zn,,,,,,,,,
Filter mud + ash,,0,0,0,0,0,35.5,Zn,,,,,,,,,
Green manure,,0,0,0,0,0,22.70000076,Zn,,,,,,,,,
Magnesium oxide,,0,0,0,40,0,0,,,,,,,,,,
Magnesium sulphate,,0,0,0,0,0,0,,,,,,,,,,
Monoammonium phosphate,,0,0,0,21.70000076,0,13.10000038,Mg,,,,,,,,,
other inorganic,,0,0,0,0,0,0,,,,,,,,,,
other organic,,0,0,0,0,0,0,,,,,,,,,,
Potassium chloride,,0,0,0,0,0,0,,,,,,,,,,
Potassium sulphate,,0,0,0,0,0,0,,,,,,,,,,
Rock phosphate,,0,0,0,0,0,0,,,,,,,,,,
Single superphosphate,,0,0,0,0,0,0,,,,,,,,,,
Sludge effluent,,0,0,0,0,0,0,,,,,,,,,,
Triple superphosphate,,0,0,0,0,0,0,,,,,,,,,,
Urea,,0,0,0,0,0,0,,,,,,,,,,
Urea Ammonium Nitrate,,0,0,0,0,0,0,,,,,,,,,,
Zinc sulphate heptahydrate,,0,0,0,0,0,0,,,,,,,,,,
Zinc sulphate monohydrate,,0,0,0,0,0,0,,,,,,,,,,
