ExpID,Plot,Date,Sample,CCS,DPMSTK,DSMSTK,DWCAB,DWC-IIST,DWDLF,DWGLF,DWMST,DWPCAB,DWPDLF,DWPGLF,DWPMST,DWPSTA,DWPSTK,DWPTOP,DWPTOTA,DWPTOTG,DWRT,DWSCAB,DWSDLF,DWSGLF,DWSMST,DWSSTA,DWSTA,DWSTB,DWSTOP,DWSTOTA,DWSTOTG,DWTOP,DWTOTA,DWTOTB,DWTOTG,DWTOTT,FBCAB,FBGLF,FBMST,FBPMST,FBSMST,FBSTA,FBTOP,FBTOTA,FCCAB,FCCABF,FCDLF,FCGLF,FCGLFF,FCMST,FCMSTF,FCPMST,FCPMSTF,FCSMST,FCSMSTF,FCSTA,FCSTAF,FCTOP,FCTOPF,FCTOTA,FRINT,FWCAB,FWC-IIST,FWDLF,FWDST,FWGLF,FWMST,FWPCAB,FWPDLF,FWPGLF,FWPMST,FWPSTA,FWPTOP,FWPTOTA,FWPTOTG,FWSCAB,FWSDLF,FWSGLF,FWSMST,FWSSTA,FWSTA,FWSTOP,FWSTOTA,FWSTOTG,FWTOP,FWTOTA,FWTOTG,GCCABF,GCGLFF,GCMST,GCMSTF,GCPMSTF,GWCAB,GWGLF,GWMST,GWSTA,GWTOP,GWTOTA,LAI,LAPSTK,LASSTK,LATSTK,LAW,LGISB,LGIST,LPMSTK,LSMSTK,MOCAB,MODLF,MOGLF,MOMST,MOPCAB,MOPDLF,MOPGLF,MOPMST,MOPSTA,MOPTOP,MOPTOTA,MOPTOTG,MOSCAB,MOSDLF,MOSGLF,MOSMST,MOSSTA,MOSTA,MOSTOP,MOSTOTA,MOSTOTG,MOTOP,MOTOTA,MOTOTG,NCCAB,NCDLF,NCGLF,NC-IISTK,NC-IISTKS,NCMST,NCPCAB,NCPDLF,NCPGLF,NCPMST,NCPSTA,NCPTOP,NCPTOTA,NCSCAB,NCSDLF,NCSGLF,NCSMST,NCSSTA,NCSTA,NCSTOP,NCSTOTA,NCTOP,NCTOTA,NCTOTG,NMDSTK,NMPDLF,NMPGLF,NMPSTK,NMSDLF,NMSGLF,NMSSTK,NMTSTK,NWCAB,NWDLF,NWGLF,NWMST,NWPCAB,NWPDLF,NWPGLF,NWPMST,NWPSTA,NWPTOP,NWPTOTA,NWSCAB,NWSDLF,NWSGLF,NWSMST,NWSSTA,NWSTA,NWSTOP,NWSTOTA,NWTOP,NWTOTA,NWTOTG,PCGLFF,PCMSTF,PCPTOP,PCPTOPF,PCSTOP,PCSTOPF,PCTOPF,PRUE,PWPTOP,PWSTOP,RCCAB,RCCABF,RCGLF,RCGLFF,RCMST,RCMSTF,RCPTOP,RCPTOPF,RCSTOP,RCSTOPF,RINT,RWMST,RWPMST,RWPTOP,RWSTOP,SCCAB,SCCABF,SCGLF,SCGLFF,SCMST,SCMSTF,SCPMST,SCPMSTF,SCPTOP,SCPTOPF,SCSMST,SCSMSTF,SCSTA,SCSTAF,SCSTOP,SCSTOPF,SCTOP,SCTOPF,SCTOTA,SCTOTAF,SWCAB,SWGLF,SWMST,SWPCAB,SWPMST,SWPTOP,SWSMST,SWSTA,SWSTOP,SWTOP,SWTOTA,TCCABF,TCGLFF,TCMST,TCMSTF,TDWT,TFWT,TWCAB,TWGLF,TWMST,TWSTA,TWTOP,TWTOTA
1,105,18/11/1991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105,18/11/1991,S01,,,,247.697998,,0,342.9500122,0,,,,,,,,,,,,,,,,247.697998,,,,,,590.6480103,,590.6480103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060.01001,,,,,,,,,,,,,3.894880056,,,,112.918602,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147563994,,0.01436,,0.01984,,,,,,,,,,,,,,,,,,,0.01754187,0.01754187,,,,,22.91909027,,,,22.91909027,3.556950092,,6.804130077,,,,,,,,,,,,,,,,,10.36108017,10.36108017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105,4/2/1992,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105,4/2/1992,S02,,,,317.17099,,195.977005,572.3670044,1782.319946,,,,,,,,,,,,,,,,2099.48999,,,,,,2867.833984,,2671.856934,,242.8690033,471.9760132,895.7490234,,,1138.619995,714.8460083,1610.589966,0.75950402,0.110074997,,0.823525012,0.210924998,0.502538979,0.092799999,,,,,0.541473985,0.095976703,0.80072403,0.161046997,0.561924994,,2208.870117,,466.3330078,,2236.969971,9658.589844,,,,,,,,,,,,,,11867.5,,,,4445.850098,14570.76953,14104.40039,,,,,,,,,,,,5.82366991,,,,102.1395035,,,,,0.145303994,0.412454993,0.256071001,0.184719995,,,,,,,,,,,,,,0.177339002,,,,0.201190993,0.196933001,0.189822003,0.0069375,0.0066125,0.014125,,,0.00535625,,,,,,,,,,,,,0.00559513,,,0.01156225,0.00736706,,,,,10.73085976,,,,10.73085976,2.200370073,1.295897961,8.084679604,9.546549797,,,,,,,,,,,,,11.7468996,,,10.28505039,21.12750053,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00878039,0.001242212,0.00155028,0.000392264,0.310909003,0.057311699,,,,,,,0.264797002,0.046796899,,,0.00301463,0.000602516,0.199791998,0.0400052,3.228800058,0.767911017,561.4429932,,,,,564.15802,,2.292720079,510.5069885,,,,,,,,,,,,
1,105,1/4/1992,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967499971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105,1/4/1992,S03,,,,436.1799927,,253.8630066,652.117981,3550.100098,,,,,,,,,,,,,,,,3986.280029,,,,,,4892.26123,,4638.397949,,373.0209961,596.9310303,2100.809082,,,2473.830078,969.9520264,3070.76001,0.860291004,0.133169994,,0.897768021,0.262244999,0.532118976,0.138060004,,,,,0.562783003,0.137288302,0.876272023,0.19111,0.574844003,,2829.600098,,432.7269897,,2243.75,15259.58008,,,,,,,,,,,,,,18089.19922,,,,5073.350098,20765.66016,20332.90039,,,,,,,,,,,,7.023449898,,,,107.2724991,,,,,0.156177998,0.620647013,0.293278992,0.233979002,,,,,,,,,,,,,,0.221815005,,,,0.216903001,0.237267002,0.229711995,0.00594375,0.0033375,0.01313125,,,0.003475,,,,,,,,,,,,,0.00374513,,,0.01025056,0.00497511,,,,,9.570770264,,,,9.570770264,2.592550039,0.847268999,8.563119888,12.3366003,,,,,,,,,,,,,14.92910004,,,11.15567017,24.33953094,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022201519,0.00341654,0.0142599,0.004089725,0.365945995,0.095041797,,,,,,,0.330852002,0.080783702,,,0.017255969,0.003716036,0.273835003,0.070610598,9.535200119,9.334629059,1445.786011,,,,,1455.321045,,18.86982918,1464.655029,,,,,,,,,,,,
1,105,14/07/1992,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882898808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105,14/07/1992,S04,,,,312.901001,,447.3410034,552.5250244,4933.970215,,,,,,,,,,,,,,,,5246.874023,,,,,,6246.741211,,5799.398926,,250.7169952,496.3519897,2424.749023,,,2675.469971,747.0689697,3171.820068,0.803651989,0.153750002,,0.934365988,0.27974999,0.511112988,0.14835,,,,,0.528963983,0.148870498,0.885200024,0.219586998,0.529717028,,1618.719971,,593.5570068,,1744.050049,16200.28027,,,,,,,,,,,,,,17819,,,,3362.780029,20156.60938,19563.09961,,,,,,,,,,,,5.140460014,,,,93.35479736,,,,,0.192923993,0.792560995,0.317182988,0.306524992,,,,,,,,,,,,,,0.296243012,,,,0.257117987,0.311554998,0.298152,0.00625,0.0028625,0.01188125,,,0.00244375,,,,,,,,,,,,,0.00267074,,,0.00984523,0.00349914,,,,,8.700699806,,,,8.700699806,1.955629945,1.280514002,6.564690113,12.05739975,,,,,,,,,,,,,14.01299953,,,8.520330429,21.85824013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058395509,0.01127518,0.024856729,0.00756994,0.464035004,0.135040596,,,,,,,0.439153999,0.123786703,,,0.037007101,0.009341556,0.373001009,0.110468701,18.59874916,13.99920082,2187.379883,,,,,2205.979004,,32.59794998,2219.978027,,,,,,,,,,,,
1,106,18/11/1991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,106,18/11/1991,S01,,,,111.2060013,,0,228.4210052,0,,,,,,,,,,,,,,,,111.2060013,,,,,,339.6270142,,339.6270142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.290039,,,,,,,,,,,,,2.447700024,,,,106.9030991,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178840995,,0.01207,,0.01726,,,,,,,,,,,,,,,,,,,0.01556061,0.01556061,,,,,19.30314064,,,,19.30314064,1.34224999,,3.942549944,,,,,,,,,,,,,,,,,5.284800053,5.284800053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
