ExpID,Treatment,Date,Amount,Method,Notes
1,ALL,30/08/1991,20,Overhead - portable lines,
1,ALL,13/09/1991,25,Overhead - portable lines,
1,ALL,25/09/1991,25,Overhead - portable lines,
1,ALL,26/09/1991,30,Overhead - portable lines,
1,ALL,27/10/1991,60,Drip or trickle,
1,ALL,28/10/1991,60,Drip or trickle,
1,ALL,5/11/1991,38,Drip or trickle,
1,ALL,12/11/1991,22,Drip or trickle,
1,ALL,15/11/1991,22,Drip or trickle,
1,ALL,22/11/1991,22,Drip or trickle,
1,ALL,26/11/1991,22,Drip or trickle,
1,ALL,29/11/1991,22,Drip or trickle,
1,ALL,2/12/1991,5,Drip or trickle,
1,ALL,6/12/1991,22,Drip or trickle,
1,ALL,17/12/1991,22,Drip or trickle,
1,ALL,20/12/1991,22,Drip or trickle,
1,ALL,23/12/1991,12,Drip or trickle,
1,ALL,24/12/1991,12,Drip or trickle,
1,ALL,30/12/1991,14,Drip or trickle,
1,ALL,31/12/1991,9,Drip or trickle,
1,ALL,2/1/1992,10,Drip or trickle,
1,ALL,3/1/1992,12,Drip or trickle,
1,ALL,8/1/1992,36,Drip or trickle,
1,ALL,10/1/1992,10,Drip or trickle,
1,ALL,14/01/1992,36,Drip or trickle,
1,ALL,16/01/1992,36,Drip or trickle,
1,ALL,22/01/1992,36,Drip or trickle,
1,ALL,24/01/1992,12,Drip or trickle,
1,ALL,29/01/1992,36,Drip or trickle,
1,ALL,31/01/1992,22,Drip or trickle,
1,ALL,18/02/1992,36,Drip or trickle,
1,ALL,20/02/1992,15,Drip or trickle,
2,ALL,24/04/1991,200,Furrow - every furrow,
2,ALL,15/07/1991,200,Furrow - every furrow,
2,ALL,6/10/1991,200,Furrow - every furrow,
2,ALL,24/10/1991,200,Furrow - every furrow,
2,ALL,3/11/1991,200,Furrow - every furrow,
2,ALL,14/11/1991,200,Furrow - every furrow,
2,ALL,8/12/1991,200,Furrow - every furrow,
2,ALL,1/1/1992,200,Furrow - every furrow,
2,ALL,11/1/1992,200,Furrow - every furrow,
2,ALL,18/01/1992,200,Furrow - every furrow,
2,ALL,30/01/1992,200,Furrow - every furrow,
2,ALL,19/02/1992,200,Furrow - every furrow,
2,ALL,12/3/1992,200,Furrow - every furrow,
2,ALL,24/03/1992,200,Furrow - every furrow,
2,ALL,4/4/1992,200,Furrow - every furrow,
2,ALL,26/04/1992,200,Furrow - every furrow,
2,ALL,9/5/1992,200,Furrow - every furrow,
3,1,9/9/1992,25,Overhead - portable lines,
3,1,5/10/1992,25,Overhead - portable lines,
3,1,27/10/1992,36,Drip or trickle,
3,1,6/11/1992,36,Drip or trickle,
3,1,13/11/1992,36,Drip or trickle,
3,1,20/11/1992,36,Drip or trickle,
3,1,27/11/1992,36,Drip or trickle,
3,1,4/12/1992,36,Drip or trickle,
3,1,11/12/1992,36,Drip or trickle,
3,1,4/3/1993,36,Drip or trickle,
3,1,19/03/1993,36,Drip or trickle,
3,1,26/03/1993,36,Drip or trickle,
3,1,3/4/1993,36,Drip or trickle,
3,1,8/4/1993,36,Drip or trickle,
3,1,22/04/1993,36,Drip or trickle,
3,1,6/5/1993,36,Drip or trickle,
3,1,12/5/1993,36,Drip or trickle,
3,1,26/05/1993,36,Drip or trickle,
3,1,16/06/1993,36,Drip or trickle,
3,1,23/06/1993,36,Drip or trickle,
3,2,8/9/1992,25,Overhead - portable lines,
3,2,2/10/1992,25,Overhead - portable lines,
3,2,29/10/1992,36,Drip or trickle,
3,2,5/11/1992,36,Drip or trickle,
3,2,12/11/1992,36,Drip or trickle,
3,2,19/11/1992,36,Drip or trickle,
3,2,26/11/1992,36,Drip or trickle,
3,2,3/12/1992,36,Drip or trickle,
3,2,10/12/1992,36,Drip or trickle,
3,2,18/03/1993,36,Drip or trickle,
3,2,25/03/1993,36,Drip or trickle,
3,2,2/4/1993,36,Drip or trickle,
3,2,7/4/1993,36,Drip or trickle,
3,2,21/04/1993,36,Drip or trickle,
3,2,7/5/1993,36,Drip or trickle,
3,2,13/05/1993,36,Drip or trickle,
3,2,27/05/1993,36,Drip or trickle,
3,2,17/06/1993,36,Drip or trickle,
3,2,24/06/1993,36,Drip or trickle,
3,3,9/9/1992,25,Overhead - portable lines,
3,3,5/10/1992,25,Overhead - portable lines,
3,3,27/10/1992,36,Drip or trickle,
3,3,6/11/1992,36,Drip or trickle,
3,3,13/11/1992,36,Drip or trickle,
3,3,20/11/1992,36,Drip or trickle,
3,3,27/11/1992,36,Drip or trickle,
3,3,4/12/1992,36,Drip or trickle,
3,3,11/12/1992,36,Drip or trickle,
3,3,4/3/1993,36,Drip or trickle,
3,3,19/03/1993,36,Drip or trickle,
3,3,26/03/1993,36,Drip or trickle,
3,3,3/4/1993,36,Drip or trickle,
3,3,8/4/1993,36,Drip or trickle,
3,3,22/04/1993,36,Drip or trickle,
3,3,6/5/1993,36,Drip or trickle,
3,3,12/5/1993,36,Drip or trickle,
3,3,26/05/1993,36,Drip or trickle,
3,3,16/06/1993,36,Drip or trickle,
3,3,23/06/1993,36,Drip or trickle,
3,4,8/9/1992,25,Overhead - portable lines,
3,4,2/10/1992,25,Overhead - portable lines,
3,4,29/10/1992,36,Drip or trickle,
3,4,5/11/1992,36,Drip or trickle,
3,4,12/11/1992,36,Drip or trickle,
3,4,19/11/1992,36,Drip or trickle,
3,4,26/11/1992,36,Drip or trickle,
3,4,3/12/1992,36,Drip or trickle,
3,4,10/12/1992,36,Drip or trickle,
3,4,18/03/1993,36,Drip or trickle,
3,4,25/03/1993,36,Drip or trickle,
3,4,2/4/1993,36,Drip or trickle,
3,4,7/4/1993,36,Drip or trickle,
3,4,21/04/1993,36,Drip or trickle,
3,4,7/5/1993,36,Drip or trickle,
3,4,13/05/1993,36,Drip or trickle,
3,4,27/05/1993,36,Drip or trickle,
3,4,17/06/1993,36,Drip or trickle,
3,4,24/06/1993,36,Drip or trickle,
4,ALL,7/9/1992,25,Overhead - portable lines,
4,ALL,1/10/1992,25,Overhead - portable lines,
4,ALL,3/10/1992,36,Drip or trickle,
4,ALL,4/11/1992,36,Drip or trickle,
4,ALL,11/11/1992,36,Drip or trickle,
4,ALL,18/11/1992,36,Drip or trickle,
4,ALL,25/11/1992,36,Drip or trickle,
4,ALL,2/12/1992,36,Drip or trickle,
4,ALL,9/12/1992,36,Drip or trickle,
4,ALL,5/3/1993,36,Drip or trickle,
4,ALL,17/03/1993,36,Drip or trickle,
4,ALL,24/03/1993,36,Drip or trickle,
4,ALL,1/4/1993,36,Drip or trickle,
4,ALL,6/4/1993,36,Drip or trickle,
4,ALL,20/04/1993,36,Drip or trickle,
4,ALL,8/5/1993,36,Drip or trickle,
4,ALL,14/05/1993,36,Drip or trickle,
4,ALL,28/05/1993,36,Drip or trickle,
4,ALL,18/06/1993,36,Drip or trickle,
4,ALL,25/06/1993,36,Drip or trickle,
6,1,27/04/1992,229,Furrow - every furrow,
6,1,23/07/1992,229,Furrow - every furrow,
6,1,4/8/1992,229,Furrow - every furrow,
6,1,9/9/1992,229,Furrow - every furrow,
6,1,19/09/1992,229,Furrow - every furrow,
6,1,30/09/1992,229,Furrow - every furrow,
6,1,12/10/1992,229,Furrow - every furrow,
6,1,22/10/1992,229,Furrow - every furrow,
6,1,7/11/1992,229,Furrow - every furrow,
6,1,13/11/1992,229,Furrow - every furrow,
6,1,21/11/1992,229,Furrow - every furrow,
6,1,29/11/1992,229,Furrow - every furrow,
6,1,25/12/1992,229,Furrow - every furrow,
6,1,3/1/1993,229,Furrow - every furrow,
6,1,23/01/1993,229,Furrow - every furrow,
6,1,12/2/1993,229,Furrow - every furrow,
6,1,13/03/1993,229,Furrow - every furrow,
6,1,27/03/1993,229,Furrow - every furrow,
6,1,23/04/1993,229,Furrow - every furrow,
6,1,8/5/1993,229,Furrow - every furrow,
6,1,28/05/1993,229,Furrow - every furrow,
6,1,5/6/1993,229,Furrow - every furrow,
6,1,17/06/1993,229,Furrow - every furrow,last irrigation for early plant
6,2,6/7/1992,289,Furrow - every furrow,
6,2,5/10/1992,289,Furrow - every furrow,
6,2,2/11/1992,289,Furrow - every furrow,
6,2,23/11/1992,289,Furrow - every furrow,
6,2,15/12/1992,289,Furrow - every furrow,
6,2,9/1/1993,289,Furrow - every furrow,
6,2,23/01/1993,289,Furrow - every furrow,
6,2,11/2/1993,289,Furrow - every furrow,
6,2,28/02/1993,289,Furrow - every furrow,
6,2,15/03/1993,289,Furrow - every furrow,
6,2,2/4/1993,289,Furrow - every furrow,
6,2,27/04/1993,289,Furrow - every furrow,
6,2,3/5/1993,140,Furrow - every furrow,half rate because of winds and fear of lodging
6,2,6/5/1993,289,Furrow - every furrow,
6,3,24/10/1992,215,Furrow - every furrow,
6,3,17/11/1992,215,Furrow - every furrow,
6,3,24/11/1992,215,Furrow - every furrow,
6,3,2/1/1993,215,Furrow - every furrow,
6,3,23/01/1993,215,Furrow - every furrow,
6,3,27/01/1993,215,Furrow - every furrow,
6,3,12/2/1993,215,Furrow - every furrow,
6,3,5/3/1993,215,Furrow - every furrow,
6,3,13/03/1993,215,Furrow - every furrow,
6,3,1/4/1993,215,Furrow - every furrow,
6,3,9/4/1993,215,Furrow - every furrow,
6,3,25/04/1993,215,Furrow - every furrow,
6,3,8/5/1993,215,Furrow - every furrow,
6,3,8/6/1993,215,Furrow - every furrow,
6,3,29/06/1993,215,Furrow - every furrow,
6,3,21/07/1993,215,Furrow - every furrow,last irrigation for 2nd and 4th ratoon
6,4,23/10/1992,215,Furrow - every furrow,
6,4,15/11/1992,215,Furrow - every furrow,
6,4,26/11/1992,215,Furrow - every furrow,
6,4,15/12/1992,215,Furrow - every furrow,
6,4,27/01/1993,215,Furrow - every furrow,
6,4,2/2/1993,215,Furrow - every furrow,
6,4,11/2/1993,215,Furrow - every furrow,
6,4,28/02/1993,215,Furrow - every furrow,
6,4,12/3/1993,215,Furrow - every furrow,
6,4,18/03/1993,215,Furrow - every furrow,
6,4,2/4/1993,215,Furrow - every furrow,
6,4,14/04/1993,215,Furrow - every furrow,
6,4,1/5/1993,215,Furrow - every furrow,
6,4,11/5/1993,215,Furrow - every furrow,
6,4,8/6/1993,215,Furrow - every furrow,
6,4,29/06/1993,215,Furrow - every furrow,
6,4,21/07/1993,215,Furrow - every furrow,last irrigation for 2nd and 4th ratoon
7,ALL,27/04/1992,229,Furrow - every furrow,
7,ALL,3/7/1992,229,Furrow - every furrow,
7,ALL,4/8/1992,229,Furrow - every furrow,
