ExpID,Name,,,,,,,,,
1,"Effect of withholding fumigation, on plant crop - Herbert District",,,,,,,,,
2,"Effect of withholding fumigation, on plant crop - Burdekin District",,,,,,,,,
3,Effect of cultivar and crop class under fumigation - Herbert District,,,,,,,,,
4,Effect of Nitrogen rate on plant crop - Herbert District,,,,,,,,,
5,Effect of fumigation on growth of fumigated early plant crop,,,,,,,,,
6,Effect of crop class under non-fumigated conditions - Burdekin,,,,,,,,,
7,Effect of Nitrogen rates on fumigated early plant,,,,,,,,,
8,Growth Analysis of 2 Varieties - Bundaberg District,,,,,,,,,
9,Growth Analysis of 2 Varieties - Bundaberg,,,,,,,,,
12,Effect of Nitrogen and Water on Cane growth and Soil N Balance - CSC7S,,,,,,,,,
13,"Effect on Plant Crop of Cultivar, Nitrogen & Irrigation - GE1",,,,,,,,,
14,"Effect on Ratoont Crop of Cultivar, Nitrogen & Irrigation - GE2",,,,,,,,,
17,Effect of Nitrogen rate and crop class on Q117 under fumigation,,,,,,,,,
18,Effect of fumigation on Q117 in 1st ratoon,,,,,,,,,
19,Effect of N rate on Q117 fumigated 1st ratoon,,,,,,,,,
20,Effect of cultivar on non-fumigated 1st ratoon,,,,,,,,,
21,Effect of cultivar on fumigated final plant crop yield. - Herbert,,,,,,,,,
22,"Effect on Plant crop of Cultivar, Fumigation & Irrigation - HE1",,,,,,,,,
23,"Effect  on Ratoon crop of Cultivar, Fumigation & Irrigation - HE2",,,,,,,,,
24,Effect of Crop age and Cultivars on seasonal biomass accumulation,,,,,,,,,
25,Effect of Crop age and Cultivars on seasonal biomass accumulation,,,,,,,,,
26,Effect of Crop age and Cultivars on seasonal biomass accumulation,,,,,,,,,
27,Growth Analysis of variety grown in the Ord District,,,,,,,,,
28,Growth Analysis of variety grown in the Ord District,,,,,,,,,
30,Effect of Nitrogen and Variety on Yield - Ord District,,,,,,,,,
32,Growth Analysis of 3rd Ratoon Grown Under Commercial Practice.,,,,,,,,,
33,Effect of Nitrogen and Variety on Yield - Ord District,,,,,,,,,
34,Effect of Nitrogen and Variety on Yield - Ord District,,,,,,,,,
35,Effect of Nitrogen and Variety on Yield - Ord District,,,,,,,,,
36,Schulte2 -,,,,,,,,,
37,Effect of Nitrogen on Yield of 2 Varieties - Rainfed,,,,,,,,,
40,Response to Timing and Amount of Irrigation - Herbert,,,,,,,,,
41,Effect of Early and Late Water Stress on Plant Crop - Burdekin,,,,,,,,,
42,Effect of Drying Off Period Before Harvest - Burdekin,,,,,,,,,
43,Effect of Drying Off Period Before Harvest - Burdekin,,,,,,,,,
44,Effect of Mid Season Water Stress -Varying yield trial,,,,,,,,,
45,Effect of Water Stress in First Ratoon - Q96,,,,,,,,,
201,Overcoming constraints to high yield & CCS in large and lodged Crops,,,,,,,,,
202,CRC 3.3 Lodging and Season Effects Under Rainfed,,,,,,,,,
203,CRC 3.3 Lodging and Season Effects Under Rainfed,,,,,,,,,
204,Overcoming Constraints to High Yield and CCS in Large and Lodged Crops,,,,,,,,,
301,Growth Analysis on 2 varieties - 01/06/1989 - 1st Ratoon Rainfed LMY88,,,,,,,,,
302,Growth Analysis on 2 varieties - 01/08/1989 - 1st Ratoon Rainfed LMY88,,,,,,,,,
303,Growth Analysis on 2 varieties - 01/10/1989 - 1st Ratoon Rainfed LMY88,,,,,,,,,
304,Growth Analysis on 2 varieties - 01/12/1989 - 1st Ratoon Rainfed LMY88,,,,,,,,,
305,Growth Analysis on 2 varieties - 01/02/1990 - 1st Ratoon Rainfed LMY88,,,,,,,,,
306,Growth Analysis on 2 varieties - 01/04/1990 - 1st Ratoon Rainfed LMY88,,,,,,,,,
307,Growth Analysis on 2 varieties - 01/06/1990 - 1st Ratoon Rainfed LMY88,,,,,,,,,
308,Growth Analysis on 2 varieties - 01/08/1990 - 1st Ratoon Rainfed LMY88,,,,,,,,,
309,Growth Analysis on Irrigated NCo376 - Plant Crop MERR5,,,,,,,,,
310,Growth Analysis on Irrigated NCo376 - 1st Ratoon MERR5,,,,,,,,,
311,Cultivar Growth Analysis Trial - Rainfed - LMY93,,,,,,,,,
312,Cultivar Growth Analysis - Rainfed LMY93,,,,,,,,,
313,Cultivar Growth Analysis - Rainfed LMY93,,,,,,,,,
314,Growth Analysis in Irrigated N14,,,,,,,,,
316,Growth Analysis of N12 in the Natal Midlands,,,,,,,,,
440,To determine effect of Drying Off before harvest,,,,,,,,,
441,Effect of Drying Off Before Harvest,,,,,,,,,
442,Effect of Drying Off Before Harvest,,,,,,,,,
443,Effect of Drying Off Before Harvest,,,,,,,,,
444,Response to Irrigation based on Class A Evaporation - (Plant),,,,,,,,,
445,Irrigation schedules based on soil water deficits (1R),,,,,,,,,
501,Comparison of 2 Hawaiian varieties in winter planting -drip irrigation,,,,,,,,,
502,Comparison of 2 Hawaiian varieties in spring planting,,,,,,,,,
503,Nitrogen Nutrition of Sugar Cane,,,,,,,,,
505,Search for Guidance in the Nitrogen Fertilization - EXP108 ATN,,,,,,,,,
506,Search for Guidance in the N fertilisation - EXP108 ATN,,,,,,,,,
508,Effect of Nitrogen on Yield - EXP 20 AxTN,,,,,,,,,
509,Effect of Nitrogen on Yield - EXPT 22A x TN,,,,,,,,,
