Res ID,,Researcher Name,Institute,Location / Country
AA,,A Ayres,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
AWW,,Andrew Wood,CSR LIMITED,AUSTRALIA
BAK,,Brian Keating,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
CIE,,Carl Evenson,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
DLL,,De Li Liu,BSES,AUSTRALIA
FM,,F Meinzer,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
GK,,Graham Kingston,BSES,AUSTRALIA
LTS,,L T Santo,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
MJR,,Micheal Robertson,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
RCM,,Russell Muchow,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
RJB,,R J Borden,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
RMH,,Michael Hughes,NSW AGRICULTURE,AUSTRALIA
RO,,R Osgood,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
SE,,S El-Swaify,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
UKD,,U K Das,HAWAIIAN SUGAR PLANTERS ASSOCIATION,"HAWAII, USA"
GIB,,Geoff Inman-Bamber,SOUTH AFRICAN SUGAR ASSOCIATION,SOUTH AFRICA
AVR,,Allan Rudd,"SUGAR NORTH, MOSSMAN, QLD",AUSTRALIA
AWF,,Alec Ford,"SUGAR NORTH, MOSSMAN, QLD",AUSTRALIA
ID,,Ian Dart,BBS/CRC - BUNDABERG SUGAR,AUSTRALIA
LMM,,Lisa McDonald,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
CB,,Craig Baillie,BBS/CRC - BUNDABERG SUGAR,AUSTRALIA
JH,,James Holden,BSES,AUSTRALIA
SCC,,Scott Chapman,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
PAJ,,Phil Jackson,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
GS,,Gurmit Singh,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
JJH,,Jennifer Hollis,CSIRO DIVISION OF TROPICAL CROPS & PASTURES,AUSTRALIA
DMG,,Drew McGilChrist,"MACKAY SUGAR, MACKAY, QLD",AUSTRALIA
JJT,,John Tomlin,"MACKAY SUGAR, MACKAY, QLD",AUSTRALIA
JS,,Joe Sherrard,WESTERN AUSTRALIA AGRICULTURE DEPT.,AUSTRALIA
TT,,Tim Triglone,WESTERN AUSTRALIA AGRICULTURE DEPT.,AUSTRALIA
DH,,Dave Horsley,CSR LIMITED,AUSTRALIA
TM,,Tamara Matthews,"CANEGROWERS, QUEENSLAND",AUSTRALIA
MH,,Marcus Hardie,BSES,AUSTRALIA
MS,,Mike Smith,BBS/CRC - BUNDABERG SUGAR,AUSTRALIA
