ExpID,,Researcher,,
1,,Andrew Wood,,
1,,Russell Muchow,,
2,,Andrew Wood,,
2,,Russell Muchow,,
3,,Andrew Wood,,
3,,Micheal Robertson,,
3,,Russell Muchow,,
4,,Andrew Wood,,
4,,Micheal Robertson,,
4,,Russell Muchow,,
5,,Andrew Wood,,
5,,Micheal Robertson,,
5,,Russell Muchow,,
6,,Andrew Wood,,
6,,Micheal Robertson,,
6,,Russell Muchow,,
7,,Andrew Wood,,
7,,Micheal Robertson,,
7,,Russell Muchow,,
8,,De Li Liu,,
9,,De Li Liu,,
12,,Brian Keating,,
13,,Michael Hughes,,
14,,Michael Hughes,,
15,,Michael Hughes,,
17,,Andrew Wood,,
17,,Micheal Robertson,,
17,,Russell Muchow,,
18,,Andrew Wood,,
18,,Micheal Robertson,,
18,,Russell Muchow,,
19,,Andrew Wood,,
19,,Micheal Robertson,,
19,,Russell Muchow,,
21,,Andrew Wood,,
21,,Russell Muchow,,
22,,Russell Muchow,,
22,,Michael Hughes,,
23,,Russell Muchow,,
23,,Michael Hughes,,
24,,Graham Kingston,,
25,,Graham Kingston,,
26,,Graham Kingston,,
27,,Graham Kingston,,
28,,Graham Kingston,,
32,,Andrew Wood,,
32,,Micheal Robertson,,
32,,Russell Muchow,,
33,,Graham Kingston,,
34,,Graham Kingston,,
35,,Graham Kingston,,
36,,Brian Keating,,
301,,Geoff Inman-Bamber,,
302,,Geoff Inman-Bamber,,
303,,Geoff Inman-Bamber,,
304,,Geoff Inman-Bamber,,
305,,Geoff Inman-Bamber,,
306,,Geoff Inman-Bamber,,
307,,Geoff Inman-Bamber,,
308,,Geoff Inman-Bamber,,
309,,Geoff Inman-Bamber,,
310,,Geoff Inman-Bamber,,
311,,Geoff Inman-Bamber,,
312,,Geoff Inman-Bamber,,
313,,Geoff Inman-Bamber,,
314,,Geoff Inman-Bamber,,
501,,Carl Evenson,,
501,,R Osgood,,
501,,S El-Swaify,,
502,,Carl Evenson,,
502,,R Osgood,,
502,,S El-Swaify,,
503,,U K Das,,
504,,A Ayres,,
505,,R J Borden,,
506,,R J Borden,,
508,,R J Borden,,
509,,R J Borden,,
20,,Micheal Robertson,,
20,,Russell Muchow,,
601,,Allan Rudd,,
601,,Alec Ford,,
601,,Lisa McDonald,,
607,,Allan Rudd,,
607,,Alec Ford,,
607,,Lisa McDonald,,
613,,Allan Rudd,,
613,,Alec Ford,,
613,,Lisa McDonald,,
619,,Allan Rudd,,
619,,Alec Ford,,
619,,Lisa McDonald,,
901,,Craig Baillie,,
902,,Craig Baillie,,
905,,Craig Baillie,,
907,,Craig Baillie,,
37,,Andrew Wood,,
37,,Micheal Robertson,,
37,,Russell Muchow,,
41,,Andrew Wood,,
41,,Micheal Robertson,,
41,,Russell Muchow,,
43,,Micheal Robertson,,
40,,Andrew Wood,,
40,,Micheal Robertson,,
40,,Russell Muchow,,
316,,Geoff Inman-Bamber,,
716,,Andrew Wood,,
716,,Geoff Inman-Bamber,,
716,,Micheal Robertson,,
716,,Russell Muchow,,
812,,Drew McGilChrist,,
812,,John Tomlin,,
812,,Lisa McDonald,,
42,,Andrew Wood,,
42,,Micheal Robertson,,
42,,Russell Muchow,,
711,,Lisa McDonald,,
711,,Andrew Wood,,
706,,Andrew Wood,,
706,,Lisa McDonald,,
45,,Andrew Wood,,
45,,Geoff Inman-Bamber,,
45,,Micheal Robertson,,
45,,Russell Muchow,,
625,,Allan Rudd,,
625,,Alec Ford,,
625,,Lisa McDonald,,
44,,Micheal Robertson,,
201,,Scott Chapman,,
201,,Gurmit Singh,,
202,,Scott Chapman,,
202,,Gurmit Singh,,
203,,Scott Chapman,,
203,,Gurmit Singh,,
201,,Phil Jackson,,
202,,Phil Jackson,,
203,,Phil Jackson,,
825,,Jennifer Hollis,,
825,,Russell Muchow,,
835,,Drew McGilChrist,,
835,,Jennifer Hollis,,
835,,John Tomlin,,
835,,Lisa McDonald,,
845,,Drew McGilChrist,,
845,,Jennifer Hollis,,
845,,John Tomlin,,
845,,Lisa McDonald,,
870,,Drew McGilChrist,,
870,,Jennifer Hollis,,
870,,John Tomlin,,
870,,Lisa McDonald,,
875,,Drew McGilChrist,,
875,,Jennifer Hollis,,
875,,John Tomlin,,
875,,Lisa McDonald,,
825,,Drew McGilChrist,,
813,,Drew McGilChrist,,
813,,Lisa McDonald,,
701,,Andrew Wood,,
701,,Lisa McDonald,,
702,,Andrew Wood,,
702,,Lisa McDonald,,
707,,Andrew Wood,,
707,,Lisa McDonald,,
626,,Allan Rudd,,
626,,Alec Ford,,
626,,Lisa McDonald,,
620,,Allan Rudd,,
620,,Alec Ford,,
620,,Lisa McDonald,,
608,,Allan Rudd,,
608,,Alec Ford,,
608,,Lisa McDonald,,
602,,Allan Rudd,,
602,,Alec Ford,,
602,,Lisa McDonald,,
444,,Joe Sherrard,,
807,,Drew McGilChrist,,
807,,Geoff Inman-Bamber,,
807,,John Tomlin,,
790,,Geoff Inman-Bamber,,
885,,Jennifer Hollis,,
855,,Marcus Hardie,,
717,,Geoff Inman-Bamber,,
717,,Andrew Wood,,
717,,Russell Muchow,,
901,,Ian Dart,,
901,,Russell Muchow,,
901,,Mike Smith,,
902,,Ian Dart,,
902,,Russell Muchow,,
902,,Mike Smith,,
905,,Ian Dart,,
905,,Russell Muchow,,
905,,Mike Smith,,
906,,Ian Dart,,
906,,Craig Baillie,,
906,,Geoff Inman-Bamber,,
906,,Russell Muchow,,
906,,Mike Smith,,
885,,Drew McGilChrist,,
885,,John Tomlin,,
440,,Joe Sherrard,,
440,,Russell Muchow,,
440,,Andrew Wood,,
443,,Joe Sherrard,,
443,,Russell Muchow,,
443,,Andrew Wood,,
903,,Ian Dart,,
908,,Ian Dart,,
826,,Drew McGilChrist,,
826,,Jennifer Hollis,,
826,,Russell Muchow,,
827,,Drew McGilChrist,,
827,,Jennifer Hollis,,
827,,Russell Muchow,,
871,,Drew McGilChrist,,
871,,Jennifer Hollis,,
871,,Russell Muchow,,
871,,Lisa McDonald,,
872,,Drew McGilChrist,,
872,,Jennifer Hollis,,
872,,Russell Muchow,,
872,,Lisa McDonald,,
876,,Drew McGilChrist,,
876,,Jennifer Hollis,,
876,,Russell Muchow,,
876,,Lisa McDonald,,
877,,Drew McGilChrist,,
877,,Jennifer Hollis,,
877,,Russell Muchow,,
877,,Lisa McDonald,,
441,,Joe Sherrard,,
442,,Joe Sherrard,,
445,,Andrew Wood,,
445,,Joe Sherrard,,
445,,Russell Muchow,,
