ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
1,,105,15/07/1991,0,20,,,0.02,3.329999924,4.320000172,10,2.099999905,0.02,188,0.75999999,7,,2.900000095,0.699999988,5.699999809,200,0.129999995,,,0.100000001,2,,,3
1,,105,31/08/1992,0,20,0.01,,0.059999999,3.859999895,5.380000114,25,2,0.050000001,172,1,13,,0.400000006,0.699999988,6,200,0.150000006,,,0.360000014,7,,,3.5
1,,106,15/07/1991,0,20,4.320000172,,,3.329999924,2.099999905,10,3,0.02,7,0.75999999,0.02,,2.900000095,0.699999988,5.699999809,200,0.129999995,,,0.100000001,2,,,188
1,,106,31/08/1992,0,20,0.01,,0.029999999,2.890000105,4.090000153,15,2,0.029999999,174,0.75,11,,0.899999976,0.600000024,5.699999809,200,0.119999997,,,0.319999993,3,,,2.5
1,,107,15/07/1991,0,20,,,0.050000001,4.949999809,6.360000134,15,2.299999952,0.029999999,224,1.100000024,10,,2.900000095,0.899999976,5.900000095,200,0.140000001,,,0.170000002,2,,,4.400000095
1,,107,31/08/1992,0,20,0.01,,0.079999998,5.579999924,7.590000153,15,1.899999976,0.039999999,191,1.450000048,11,,1.100000024,0.800000012,6,200,0.119999997,,,0.430000007,4,,,3.299999952
1,,108,15/07/1991,0,20,6.360000134,,,4.949999809,2.299999952,15,4.400000095,0.029999999,10,1.100000024,0.050000001,,2.900000095,0.899999976,5.900000095,200,0.140000001,,,0.170000002,2,,,224
1,,108,31/08/1992,0,20,0.01,,0.07,6.53000021,8.399999619,15,2.599999905,0.039999999,227,1.379999995,12,,0.899999976,0.899999976,6.099999905,200,0.129999995,,,0.349999994,5,,,4.400000095
2,,101,24/08/1992,0,20,19.56999969,,0.090000004,4.929999828,1.200000048,15,1.299999952,0.090000004,7,0.239999995,1.399999976,,8,1.299999952,7.800000191,14.01000023,0.01,,,0.379999995,115,,,38
2,,102,24/08/1992,0,20,19.56999969,,0.090000004,4.929999828,1.200000048,15,1.299999952,0.090000004,7,0.239999995,1.399999976,,8,1.299999952,7.800000191,14.01000023,0.01,,,0.379999995,115,,,38
2,,103,24/08/1992,0,20,19.56999969,,0.090000004,4.929999828,1.200000048,15,1.299999952,0.090000004,7,0.239999995,1.399999976,,8,1.299999952,7.800000191,14.01000023,0.01,,,0.379999995,115,,,38
2,,104,24/08/1992,0,20,19.56999969,,0.090000004,4.929999828,1.200000048,15,1.299999952,0.090000004,7,0.239999995,1.399999976,,8,1.299999952,7.800000191,14.01000023,0.01,,,0.379999995,115,,,38
2,,105,24/08/1992,0,20,15.18999958,,0.090000004,4.699999809,1.200000048,10,1.100000024,0.050000001,6,0.230000004,1.299999952,,5,2,7.699999809,9.800000191,0.01,,,0.449999988,120,,,43
2,,106,24/08/1992,0,20,15.18999958,,0.090000004,4.699999809,1.200000048,10,1.100000024,0.050000001,6,0.230000004,1.299999952,,5,2,7.699999809,9.800000191,0.01,,,0.449999988,120,,,43
2,,107,24/08/1992,0,20,15.18999958,,0.090000004,4.699999809,1.200000048,10,1.100000024,0.050000001,6,0.230000004,1.299999952,,5,2,7.699999809,9.800000191,0.01,,,0.449999988,120,,,43
2,,108,24/08/1992,0,20,15.18999958,,0.090000004,4.699999809,1.200000048,10,1.100000024,0.050000001,6,0.230000004,1.299999952,,5,2,7.699999809,9.800000191,0.01,,,0.449999988,120,,,43
2,,109,24/08/1992,0,20,15,,0.079999998,4.570000172,1.399999976,15,1.100000024,0.059999999,9,0.270000011,1.299999952,,8,1.700000048,7.599999905,9.819999695,0.01,,,0.330000013,130,,,61
2,,110,24/08/1992,0,20,15,,0.079999998,4.570000172,1.399999976,15,1.100000024,0.059999999,9,0.270000011,1.299999952,,8,1.700000048,7.599999905,9.819999695,0.01,,,0.330000013,130,,,61
2,,111,24/08/1992,0,20,15,,0.079999998,4.570000172,1.399999976,15,1.100000024,0.059999999,9,0.270000011,1.299999952,,8,1.700000048,7.599999905,9.819999695,0.01,,,0.330000013,130,,,61
2,,112,24/08/1992,0,20,15,,0.079999998,4.570000172,1.399999976,15,1.100000024,0.059999999,9,0.270000011,1.299999952,,8,1.700000048,7.599999905,9.819999695,0.01,,,0.330000013,130,,,61
3,,201,31/08/1992,0,20,0.01,1.299999952,0.07,5.25,7.360000134,35,2.099999905,0.050000001,154,1.419999957,20,0.899999976,0.100000001,0.800000012,6.199999809,122,0.119999997,,,0.560000002,7,0.152099997,,3
3,,201,31/08/1992,20,40,,1.5,,,,,,,,,,1.100000024,0.300000012,,,,,,,,,0.199499995,,
3,,201,31/08/1992,40,60,,1.5,,,,,,,,,,0.800000012,0.600000024,,,,,,,,,0.229499996,,
3,,201,31/08/1992,60,90,,1.5,,,,,,,,,,1,0.699999988,,,,,,,,,0.2685,,
3,,201,26/10/1992,0,20,,1.200000048,,,,,,,,,,46,17.89999962,,,,,,,,,0.178800002,,
3,,201,26/10/1992,20,40,,1.399999976,,,,,,,,,,1.299999952,5.300000191,,,,,,,,,0.222599998,,
3,,201,26/10/1992,40,60,,1.5,,,,,,,,,,0,0.699999988,,,,,,,,,0.222000003,,
3,,201,26/10/1992,60,90,,1.700000048,,,,,,,,,,0,1.5,,,,,,,,,0.294099987,,
3,,201,26/10/1992,90,120,,1.799999952,,,,,,,,,,0.100000001,2.700000048,,,,,,,,,0.365399987,,
3,,201,26/10/1992,120,150,,1.899999976,,,,,,,,,,0,1,,,,,,,,,0.49970001,,
3,,201,28/01/1993,0,20,,1.299999952,,,,,,,,,,6.400000095,24.5,,,,,,,,,0.233999997,,
3,,201,28/01/1993,20,40,,1.5,,,,,,,,,,2,14.39999962,,,,,,,,,0.274500012,,
3,,201,28/01/1993,40,60,,1.5,,,,,,,,,,0.400000006,13,,,,,,,,,0.301499993,,
3,,201,28/01/1993,60,90,,1.5,,,,,,,,,,0.400000006,12.89999962,,,,,,,,,0.354000002,,
