Soil Type,,From Depth,To Depth,dul,sat,ll15,bd,oc,swcon,ll,,,,,
BS K4-5,,0,300,,,0.267,1.5,,,,,,,,
BS K4-5,,300,600,,,0.354,1.5,,,,,,,,
BS K4-5,,600,900,,,0.34,1.5,,,,,,,,
BU Schulte1,,0,200,,,,1.575,,9.15,,,,,,
BU Schulte1,,200,40,,0.35,0.0652,,,,,,,,,
BU Schulte1,,40,80,,0.67,0.0667,,,,,,,,,
BU Schulte1,,80,400,,,,1.649,,,,,,,,
BU Schulte1,,400,600,,,,,,12.75,,,,,,
BU Schulte1,,600,600,,,,1.771,,,,,,,,
BU Schulte1,,600,540,,0.63,0.0795,,,,,,,,,
BU Schulte1,,540,580,,0.65,0.0801,,,,,,,,,
BU Schulte1,,580,800,,,,,,,,,,,,
BU Schulte1,,800,900,,,,1.699,,,,,,,,
BU Schulte1,,900,1000,,,,,,21,,,,,,
BU Schulte1,,1000,1200,,,,1.58,,,,,,,,
BU Schulte1,,1200,1400,,,,,,45.3,,,,,,
BU Schulte1,,1400,1500,,,,1.6025,,,,,,,,
BU Schulte1,,1500,2000,,,,,,35.1,,,,,,
ES Blamey,,0,50,0.095,,,1.37,,,0.05,,,,,
FM Block 60E,,0,150,,0.41,,1.24,,,,,,,,
FM Block 60E,,150,300,,0.4,,1.21,,,,,,,,
FM Block 60E,,300,450,,0.57,,1.65,,,,,,,,
FM Block 60E,,450,600,,0.58,,1.69,,,,,,,,
FM Block 60E,,600,900,,0.58,,1.69,,,,,,,,
FM Block 60E,,900,1200,,0.6,,1.74,,,,,,,,
HW Mill Farm,,0,200,,,,0.83,,,,,,,,
HW Mill Farm,,200,400,,,,1.16,,,,,,,,
HW Mill Farm,,400,600,,,,1.26,,,,,,,,
HW Mill Farm,,600,800,,,,1.16,,,,,,,,
HW Mill Farm,,800,1000,,,,1.19,,,,,,,,
KN block68-5,,0,400,,,0.159,1,,,,,,,,
KN block68-5,,400,900,,,0.173,0.8,,,,,,,,
KU Fd K,,0,280,,,,,0.98,,,,,,,
KU Fd K,,280,750,,,,,0.49,,,,,,,
KU Fd K,,750,1030,,,,,0.25,,,,,,,
KU Fd K,,1030,1330,,,,,0.29,,,,,,,
KU Fd K,,1330,1730,,,,,0.17,,,,,,,
LM 251,,0,50,0.265,0.387,,1.3,,,0.08,,,,,
LM 251,,50,150,0.265,0.329,,1.61,,,0.08,,,,,
LM 251,,150,300,0.247,0.316,,1.63,,,0.11,,,,,
LM 251,,300,450,0.238,0.319,,1.59,,,0.14,,,,,
LM 251,,450,600,0.248,0.345,,1.48,,,0.14,,,,,
LM 251,,600,750,0.268,0.359,,1.46,,,0.15,,,,,
LM 251,,750,800,0.339,0.39,,1.48,,,0.23,,,,,
LM 251,,800,950,0.359,0.385,,1.56,,,0.32,,,,,
LM 251,,950,1200,0.385,0.391,,1.6,,,0.36,,,,,
LM 251,,1200,2000,0.415,0.413,,1.56,,,0.37,,,,,
MK Bed 13,,0,50,,,0.1,1.35,,31.6,,,,,,
MK Bed 13,,50,400,,,,,,,,,,,,
MK Bed 13,,400,600,0.32,,,1.4,,,0.2,,,,,
MK Bed 13,,600,1000,,,,,,,,,,,,
MK Bed 13,,1000,1500,,,,,,,,,,,,
MK Bed 13,,0,200,0.28,,,1.15,,,0.16,,,,,
MK Bed 13,,200,400,0.3,,,1.35,,,0.18,,,,,
MK Bed 13,,400,900,0.33,,,1.45,,,0.21,,,,,
MK Bed 13,,900,1200,0.36,,,1.45,,,0.24,,,,,
MK Bed 13,,1200,1500,0.41,,,1.5,,,0.29,,,,,
MK Bed 14,,0,200,0.28,,,1.15,,,0.16,,,,,
MK Bed 14,,200,400,0.3,,,1.35,,,0.18,,,,,
MK Bed 14,,400,600,0.32,,,1.4,,,0.2,,,,,
MK Bed 14,,600,900,0.33,,,1.45,,,0.21,,,,,
MK Bed 14,,900,1200,0.36,,,1.45,,,0.24,,,,,
MK Bed 14,,1200,1500,0.41,,,1.5,,,0.29,,,,,
MK Bed 15,,0,200,0.28,,,1.15,,,0.16,,,,,
MK Bed 15,,200,400,0.3,,,1.35,,,0.18,,,,,
MK Bed 15,,400,600,0.32,,,1.4,,,0.2,,,,,
MK Bed 15,,600,900,0.33,,,1.45,,,0.21,,,,,
MK Bed 15,,900,1200,0.36,,,1.45,,,0.24,,,,,
MK Bed 15,,1200,1500,0.41,,,1.5,,,0.29,,,,,
MK Bed 16,,0,50,,,0.11,1.37,,42,,,,,,
MK Bed 16,,50,400,,,,,,,,,,,,
MK Bed 16,,400,600,0.32,,,1.4,,,0.2,,,,,
MK Bed 16,,600,1000,,,,,,,,,,,,
MK Bed 16,,1000,1500,,,,,,,,,,,,
