ExpID,Treatment,Date,Depth,Method,Notes
1,ALL,22/08/1991,15,Chisel plow,plough-away
1,ALL,10/9/1991,10,Harrow - spike,With Urea Fertiliser
2,ALL,1/10/1991,5,Offset disks,Hilled Up
3,1,8/7/1992,0,Roller,
3,1,8/7/1992,20,Rotary hoe,
3,1,8/7/1992,30,Coulter ripper,
3,2,4/9/1992,,Chisel plow,
3,2,4/9/1992,20,Rotary hoe,
3,2,4/9/1992,30,Coulter ripper,
3,3,8/7/1992,0,Roller,
3,3,8/7/1992,20,Rotary hoe,
3,3,8/7/1992,30,Coulter ripper,
3,4,4/9/1992,,Chisel plow,
3,4,4/9/1992,20,Rotary hoe,
3,4,4/9/1992,30,Coulter ripper,
4,ALL,8/7/1992,,Roller,
4,ALL,8/7/1992,20,Rotary hoe,
4,ALL,8/7/1992,30,Coulter ripper,
5,1,20/08/1992,5,Harrow - spike,weed control on non-fumigated plots
6,1,9/5/1992,5,Harrow - spike,Strawberried
6,1,20/08/1992,5,Harrow - spike,weed control
6,1,7/9/1992,15,Offset disks,Hilled up
6,2,9/9/1992,15,Offset disks,With fertiliser application
6,2,16/11/1992,15,Offset disks,Hilled up
6,3,20/11/1992,15,Offset disks,Hilled up
7,ALL,9/5/1992,5,Harrow - spike,Strawberried
7,ALL,26/05/1992,,Offset disks,"plots ""cut-away"""
7,ALL,19/06/1992,,Offset disks,"plots ""cut away"""
7,ALL,7/9/1992,15,Offset disks,Hilled up
8,ALL,27/09/1991,,Chisel plow,
8,ALL,19/11/1991,,Disc plow,
8,ALL,27/12/1991,,Other,
9,ALL,28/08/1992,20,Chisel plow,
9,ALL,28/09/1992,20,Chisel plow,
9,ALL,26/10/1992,15,Disc plow,
12,ALL,26/08/1992,40,Subsoiler,
13,ALL,16/12/1993,7,Rotary hoe,"conditions damp, easily manageable"
13,ALL,20/06/1994,13,Offset disks,Second Disking
13,ALL,20/06/1994,13,Offset disks,Soil dry and crumbly
13,ALL,15/08/1994,0,Roller,
13,ALL,15/08/1994,15,Rotary hoe,
13,ALL,15/08/1994,17,Coulter ripper,
13,ALL,13/09/1994,17,Rotary hoe,prior to fumigation
13,ALL,30/09/1994,0,Roller,Rows rolled with tyres
14,ALL,21/09/1995,,Other,No - Till  for  trial
15,ALL,24/10/1997,,Other,No-till
17,1,8/10/1993,10,Harrow - spring tooth,
17,2,8/10/1993,10,Harrow - spring tooth,
17,3,8/10/1993,10,Harrow - spring tooth,
